PSO-NN - Swarm Size Data

SS010
Epoch,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 10,Run 14,Run 15,Run 16,Run 17,Run 18,Run 19,Run 20,Run 21,Run 22,Run 23,Run 26,Run 27,Run 29,Run 30,Mean
11,0.7625,0.7326,0.6831,0.7509,0.7517,0.6981,0.7127,0.8162,0.8196,0.8088,0.7203,0.7331,0.781,0.8072,0.8056,0.7513,0.8127,0.7605,0.7567,0.7644,0.8494,0.8278,0.6355,0.7626826086956521
12,0.7407,0.7326,0.6714,0.7467,0.7332,0.6918,0.6986,0.7638,0.7987,0.7585,0.7183,0.7182,0.7531,0.7907,0.8056,0.7274,0.8127,0.7453,0.7567,0.7644,0.8157,0.8209,0.6353,0.7478391304347826
13,0.7239,0.7326,0.659,0.727,0.7233,0.6918,0.683,0.729,0.7816,0.7435,0.6903,0.702,0.7346,0.7759,0.8056,0.7243,0.809,0.719,0.6856,0.7644,0.7987,0.81,0.6215,0.7319826086956521
14,0.7074,0.7268,0.6568,0.7167,0.6964,0.6521,0.6799,0.7164,0.7525,0.7343,0.6794,0.6808,0.7138,0.7626,0.8016,0.7182,0.7621,0.7179,0.6856,0.7381,0.768,0.7791,0.6112,0.7155521739130435
15,0.6923,0.7071,0.6448,0.7043,0.6766,0.6346,0.6669,0.6973,0.7218,0.7242,0.6616,0.6545,0.7115,0.7591,0.7933,0.7032,0.7621,0.7013,0.6675,0.7342,0.7595,0.7296,0.6015,0.7003826086956522
16,0.6805,0.7039,0.6421,0.6876,0.67,0.6346,0.6599,0.6671,0.7091,0.6939,0.6501,0.6292,0.7064,0.7562,0.7729,0.6875,0.7621,0.6887,0.6675,0.7272,0.7499,0.7162,0.5885,0.6891782608695654
17,0.6721,0.691,0.6352,0.6806,0.659,0.6339,0.6558,0.6533,0.6977,0.6888,0.6247,0.6139,0.7011,0.7504,0.7376,0.6858,0.7471,0.6887,0.6634,0.7171,0.7423,0.7115,0.5831,0.6797434782608697
18,0.6667,0.6892,0.6302,0.6749,0.6459,0.6285,0.6516,0.6533,0.6879,0.6843,0.6159,0.598,0.6967,0.7405,0.7055,0.6832,0.7149,0.6887,0.6414,0.7052,0.7364,0.7085,0.5786,0.6706956521739131
19,0.6607,0.6848,0.6285,0.6706,0.6434,0.6111,0.6487,0.6513,0.6819,0.6655,0.6159,0.5873,0.6951,0.7323,0.6976,0.6756,0.7105,0.6825,0.6323,0.7052,0.7306,0.6972,0.5754,0.6645217391304348
20,0.658,0.681,0.6246,0.6706,0.6398,0.6098,0.6448,0.6361,0.6756,0.6606,0.6072,0.5807,0.6922,0.7248,0.6802,0.6699,0.7021,0.6748,0.6323,0.7045,0.7204,0.6941,0.5683,0.6588
21,0.6545,0.6791,0.6208,0.6596,0.6077,0.5898,0.6405,0.6247,0.6696,0.6531,0.6072,0.5696,0.6857,0.7179,0.6705,0.6665,0.6908,0.674,0.627,0.6961,0.7154,0.684,0.5643,0.6507999999999999
22,0.6503,0.6755,0.6173,0.6559,0.6072,0.5819,0.6374,0.6202,0.6646,0.6489,0.6057,0.561,0.6824,0.7096,0.6587,0.6623,0.6904,0.6708,0.6209,0.6914,0.7086,0.6814,0.5507,0.6457869565217392
23,0.6474,0.6687,0.6148,0.6549,0.5984,0.5724,0.629,0.6159,0.6617,0.6426,0.6014,0.5543,0.6785,0.696,0.6534,0.659,0.6805,0.6619,0.6209,0.6882,0.6974,0.6773,0.5484,0.6401304347826088
24,0.6437,0.6676,0.6137,0.6495,0.5909,0.569,0.6255,0.6113,0.6586,0.6358,0.5951,0.5473,0.6764,0.6906,0.6449,0.6567,0.6677,0.6587,0.6199,0.6853,0.6869,0.6716,0.5453,0.6353043478260868
25,0.6403,0.6623,0.6116,0.6452,0.5862,0.5614,0.6211,0.6055,0.6523,0.6336,0.584,0.5425,0.673,0.6833,0.636,0.6541,0.661,0.6521,0.6134,0.6814,0.678,0.6664,0.542,0.6298565217391304

SS075
Epoch,Run 1,Run 4,Run 6,Run 7,Run 8,Run 9,Run 10,Run 11,Run 12,Run 14,Run 15,Run 16,Run 17,Run 18,Run 19,Run 20,Run 21,Run 22,Run 23,Run 27,Run 28,Run 29,Run 30,Mean
1,0.9764,0.9979,0.9788,1.0505,1.0895,0.8824,1.0929,1.1132,1.0221,0.9838,1.0212,0.9914,0.9766,1.0415,1.0626,0.9906,1.0001,0.9772,0.9551,0.9779,1.035,1.0738,1.0088,1.0130130434782607
